name,description,brand,size_by_ml,six,type,old_price,price
eau de lacoste l.12.12 pour elle sparkling,"eau de lacoste l.12.12 pour elle sparkling by lacoste for women - eau de toilette, 90ml",lacoste ,90,women,toilette,300.00 SAR,115.97
pure game,"pure game by adidas for men - eau de toilette, 100ml",adidas ,100,men,toilette,70.00 SAR,39.95
hugo boss just different,hugo boss just different for men 125ml - eau de toilette,na,125,men,toilette,107.97,107.97
mercedes benz intense,"mercedes benz intense for men - eau de toilette, 120ml",na,120,men,toilette,147.92,147.92
rose couture,"rose couture by elie saab for women - eau de toilette, 90 ml",elie saab ,90,women,toilette,483.00 SAR,212.77
baiser vole,"baiser vole by cartier for women - eau de parfum, 100ml",cartier ,100,women,parfum,366.00 SAR,193.80
quatre,"quatre by boucheron for women - eau de parfum, 100ml",boucheron ,100,women,parfum,472.00 SAR,150.87
"guess man - eau de toilette, 75ml","guess man - eau de toilette, 75ml",na,75,na,toilette,221.00 SAR,57.98
allure homme sport,"allure homme sport by chanel for men - eau de toilette, 100ml",chanel ,100,men,toilette,662.00 SAR,475.85
aromatics elixir,"aromatics elixir by clinique eau de parfum for women, 100 ml",clinique eau de parfum ,100,women,parfum,357.00 SAR,215.60
1881,"1881 by cerruti for men - eau de toilette, 100ml",cerruti ,100,men,toilette,137.00 SAR,93.96
debut,"debut by etienne aigner for women - eau de parfum, 100ml",etienne aigner ,100,women,parfum,227.00 SAR,139.19
pour homme,"pour homme by giorgio armani for men - eau de toilette, 100ml",giorgio armani ,100,men,toilette,462.00 SAR,248.62
guerlain la petite robe noire,guerlain la petite robe noire for women 50ml - eau de parfum,na,50,women,parfum,228.48,228.48
the one gold limited edition,"the one gold limited edition by dolce & gabbana for women - eau de parfum, 75 ml",dolce & gabbana ,75,women,parfum,420.00 SAR,179.48
absolute,"absolute by bentley for men - eau de parfum, 100ml",bentley ,100,men,parfum,419.00 SAR,109.98
poison girl,"poison girl by christian dior for girls - eau de parfum, 100ml",christian dior ,100,na,parfum,681.00 SAR,416.47
energise,"energise by hugo boss for men - eau de toilette, 125ml",hugo boss ,125,men,toilette,124.99,124.99
bvlgari pour femme,"bvlgari pour femme by bvlgari for women - eau de parfum, 100ml",bvlgari ,100,women,parfum,672.00 SAR,298.00
aramis 900,"aramis 900 by aramis for men - eau de cologne, 100ml",aramis ,100,men,na,276.00 SAR,74.97
legend intense,"legend intense by mont blanc for men - eau de toilette, 100ml",mont blanc ,100,men,toilette,230.00 SAR,199.00
far away edp,far away edp by avon 50 ml,avon 50 ml,50,na,na,163.00 SAR,62.50
hugo boss woman extreme eau de parfum 50ml,hugo boss woman extreme eau de parfum 50ml,na,50,na,parfum,143.00,143.00
amber malaki,"amber malaki by chopard for men - eau de parfum, 80ml",chopard ,80,men,parfum,515.00 SAR,224.42
silences,"silences by jacomo for women - eau de parfum, 100ml",jacomo ,100,women,parfum,126.00 SAR,101.78
bloom,"bloom by gucci for women - eau de parfum, 100ml",gucci ,100,women,parfum,298.98,298.98
